,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,40871043789,95671295,albin,Albin,263490,Rust,live,62773,2021-03-04T17:56:04Z,en
1,40885697517,35739604,rekkles,Rekkles,21779,League of Legends,live,31246,2021-03-05T10:42:44Z,en
2,40887124893,545050196,kato_junichi0817,加藤純一です,417752,Talk Shows & Podcasts,live,31074,2021-03-05T13:14:32Z,ja
3,40886208237,151920918,nasa,NASA,509670,Science & Technology,live,30638,2021-03-05T11:42:34Z,en
4,40887306973,103440455,yd0821,양띵,27471,Minecraft,live,29622,2021-03-05T13:31:45Z,ko
5,40886743517,100814397,dota2ruhub,Dota2RuHub,29595,Dota 2,live,26214,2021-03-05T12:38:51Z,ru
6,40887357725,31688366,symfuhny,Symfuhny,512710,Call of Duty: Warzone,live,19370,2021-03-05T13:36:15Z,en
7,40885937309,49207184,fps_shaka,fps_shaka,24193,Left 4 Dead 2,live,17700,2021-03-05T11:10:34Z,ja
8,40886912461,57315054,aesmatv,aesmatv,491487,Dead by Daylight,live,16493,2021-03-05T12:56:00Z,en
9,40886828669,26610234,cohhcarnage,CohhCarnage,1535565784,Loop Hero,live,16261,2021-03-05T12:47:40Z,en
10,40887619693,21841789,nmplol,Nmplol,509658,Just Chatting,live,16143,2021-03-05T13:59:53Z,en
11,40885877581,103825127,hanryang1125,풍월량,1535565784,Loop Hero,live,15800,2021-03-05T11:03:44Z,ko
12,40887783309,151283108,gothamchess,GothamChess,743,Chess,live,15369,2021-03-05T14:13:06Z,en
13,41316603084,638580878,valorant_esports_tr,VALORANT_Esports_TR,516575,VALORANT,live,14756,2021-03-05T14:01:25Z,tr
14,41315208076,128149102,shivfps,ShivFPS,511224,Apex Legends,live,13481,2021-03-05T11:06:14Z,en
15,41316366572,72550899,roshtein,ROSHTEIN,498566,Slots,live,13331,2021-03-05T13:37:50Z,en
16,40887937645,249820319,thestockguy,TheStockGuy,509658,Just Chatting,live,12195,2021-03-05T14:26:26Z,en
17,40888092893,29829912,drlupo,DrLupo,491931,Escape From Tarkov,live,11513,2021-03-05T14:39:40Z,en
18,41314749788,50597026,ponce,Ponce,30921,Rocket League,live,11430,2021-03-05T09:41:03Z,fr
19,41316706748,24147592,gotaga,Gotaga,511224,Apex Legends,live,10895,2021-03-05T14:11:11Z,fr
