video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"pXRKw2VP-sw","Resumen de FC Barcelona vs SD Huesca (4-1)","2021-03-15T23:08:20Z","UCTv-XvfzLX3i4IGWAm4sbmA","LaLiga Santander","17","21.17.03","liga|laliga|laliga santander|football|resumen|goles|highlights|goal|gol|sp:dt=2021-03-15T20:00:00Z|sp:ti:home=fcb|sp:ti:away=hue|sp:ty=high|sp:or=2|sp:li=liga|sp:vl=es|Messi|Griezmann|Mingueza|Rafa Mir|Dembélé|Dembele|Pedri|Jordi Alba|Busquets|Dest|Lenglet|Frenkie de Jong|ter Stegen|Trincao|Braithwaite|Araujo|Riqui Puig|Ilaix|Escriche|Ferreiro|Mikel Rico|Doumbia|Maffeo|Siovas|Pulido|Insúa|Javi Galán|Álvaro Fernández|Seone|Ontiveros|Sergio Gómez|Pedro López|Vavro","1791551","36545","1039","1688","https://i.ytimg.com/vi/pXRKw2VP-sw/default.jpg","False","False","El FC Barcelona se impone a la SD Huesca con un doblete de Leo Messi y los tantos de Griezmann y Mingueza #BarçaHuesca J27 LaLiga Santander 2020/2021Suscríbete al canal oficial de LaLiga Santander en HD http://goo.gl/Cp0tCSubscribe to the Official Channel of LaLiga in High Definition http://goo.gl/Cp0tCLaLiga Santander on YouTube: http://goo.gl/Cp0tCLaCopa on YouTube: http://bit.ly/1P4ZriPLaLiga SmartBank on YouTube: http://bit.ly/1OvSXbiFacebook: https://www.facebook.com/laligaTwitter: https://twitter.com/LaLigaInstagram: https://instagram.com/laligaGoogle+: http://goo.gl/46Py9"
"VD-CwKr89zs","🔴DIRECTO | REAL MADRID-ATALANTA con EL CHIRINGUITO | Champions League | Chiringuito Inside","2021-03-16T22:15:23Z","UCznSLkPhcORf0JhonB7Aegg","Chiringuito Inside","17","21.17.03","El Chiringuito|Chiringuito Inside|Chiringuito Jugones|Josep Pedrerol|Pedrerol Chiringuito|chiringuito|La Liga|Chiringuito Real Madrid|Chiringuito directo|Pedrerol Jugones|Chiringuito jugones ayer|la liga santander|real madrid|real madrid vs atalanta|real madrid vs atalanta 2021|real madrid vs atalanta highlights|atalanta vs real madrid|atalanta|champions league|real madrid vs atalanta live|chiringuito directo|real madrid atalanta|real madrid hoy|madrid","868393","13057","639","806","https://i.ytimg.com/vi/VD-CwKr89zs/default.jpg","False","False","¡DIRECTAZO! Vive el #RealMadrid - #Atalanta de la #ChampionsLeague en directo con Josep Pedrerol y el mejor equipo ¡Venteee!Suscríbete si no quieres perderte ninguno de los momentazos de #Chiringuito Inside: https://bit.ly/2LskNfD"
"rBlzhiJtaHA","Vídeo de la historia del Punto cero para el Capítulo 2 - Temporada 6 de Fortnite","2021-03-16T08:00:15Z","UCa2qf9O6eWrJPLY32gflbKA","Fortnite ES","20","21.17.03","yt:cc=on","997820","89922","699","9828","https://i.ytimg.com/vi/rBlzhiJtaHA/default.jpg","False","False","Ha llegado la hora de la verdad. El agente Jones se dispone a poner el punto y final.  ¡Jugad ya al desenlace del Punto cero! #FortnitePrimal"
"vFWv44Z4Jhk","Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021)","2021-03-15T02:34:09Z","UC-J-KZfRV8c13fOCkhXdLiQ","Dua Lipa","10","21.17.03","dua lipa|dua|new rules|dua leepa|idgaf|scared to be lonely|be the one|future nostalgia|don't start now|let's get physical|break my heart|grammys|GRAMMYS2021|dababy|live|levitating","15874341","843725","15931","31015","https://i.ytimg.com/vi/vFWv44Z4Jhk/default.jpg","False","False","Dua Lipa - Levitating ft. @DaBaby / Don't Start Now (Live at the GRAMMYs 2021)Get the album Future Nostalgia : https://dualipa.co/futurenostalgia​​Subscribe to the Dua Lipa channel for all the best and latest official music videos, behind the scenes and live performances. https://www.youtube.com/channel/UC-J-​​...See more official videos from Dua Lipa here:https://www.youtube.com/playlist?list​​...Listen to more from the album 'Future Nostalgia' :https://www.youtube.com/playlist?list​​...Follow Dua Lipa:Instagram:  https://dualipa.co/instagram​​Facebook: http://dualipa.co/facebook​​TikTok: https://www.tiktok.com/@dualipaofficial​​Twitter: http://dualipa.co/twitter​​YouTube: https://dualipa.co/youtube​​About Dua Lipa:Born and raised in London to Kosovar-Albanian parents Dua Lipa signed to Warner Records in 2015, releasing her self titled debut in 2017 which featured the hit singles, 'Be The One', 'IDGAF', 'Hotter Than Hell' & her first UK #1 hit 'New Rules'. Critical success soon followed as Dua Lipa picked up Brit Awards for 'Best Female Solo Artist' and 'Best British Breakthrough Act' as well as Grammy Awards for 'Best New Artist' and 'Best Dance Recording' for the track 'Electricity' in collaboration with Silk City.Her second internationally acclaimed studio album 'Future Nostalgia' was released in 2020 and included the hit singles 'Don't Start Now, 'Break My Heart', 'Hallucinate' and 'Levitating', with the remix album 'Club Future Nostalgia' following shortly after featuring guest appearances from 'Blackpink', 'Missy Elliott', 'Madonna' and 'Gwen Stefani'.#DuaLipa​ #FutureNostalgia​ #Grammys"
"796YqsAuzkM","DUKI - Chico Estrella (Video Oficial) ft. Asan, Yesan","2021-03-15T22:00:16Z","UCJUYcEdvnYFGajHBW0Nao3w","Duki","10","21.17.03","Hip hop|Trap|Rap|Rap en español|Duki|Niño Causa|Dukissj|Duki aka Niño causa|Duki lokita|Lokita|Duki ssj|Chico Estrella|Desde el Fin del Mundo|SSJ Records|Anestesia","2387940","328528","2850","17345","https://i.ytimg.com/vi/796YqsAuzkM/default.jpg","False","False","#DUKI​ #ChicoEstrella​ #DesdeElFinDelMundoSpotify 🎧 http://spoti.fi/3cz0UirApple Music 🎧 https://apple.co/38HMgURDeezer 🎧 https://bit.ly/3bPAWYNDUKI | https://instagram.com/dukissj​♫ Producción y Beat ♫YESAN | https://instagram.com/yesanASAN | https://instagram.com/asan.yfMix | Juan Pablo Morando | @pie.dreMaster | Javier Fracchia  | @javierofracchiaDirección: Federico CabredIdea: Mauro LombardoAgradecimientos @malekfara, Juan, July, Flavio, Chicho y todo el Equipo Dale Play Records, @lanegralocaoficial, Asan, Yesan, Cande, Lara 91k.✉ Booking | Comercial | Contacto duki@lauriaweb.com | dukiyb@gmail.com SSJ Records https://instagram.com/ssjrecords​​ ♪ Send Beats ♪ | beats@ssjrecords.com This is Duko | https://spoti.fi/2W607go​​® 2021 SSJ Records | DALE PLAY Records Productor Fonográfico: SSJ RECORDS (de Atuanorinos S.A.) Fecha y Lugar de Lanzamiento 15-03-2021, Buenos Aires, Argentina."
"lrTwxhEvyjw","اليوتوبورز سميرة فركعات الرمانة وتصدم زوجها في أول خروج إعلامي بعد تقديم تنازله عن دعوى الطلاق","2021-03-17T09:41:24Z","UCC1pl0Lv6dtncHSXH_P7CRw","Aldar.ma الدار","24","21.17.03","Maroc|المغرب|aldar|الدار|فضيحة|aldar.ma|كورونا|corona|باطما|الأمن|الدرك|مغاربة الخارج|التشرميل|الملك|محمد السادس|الدار البيضاء|الكركارات|الخراز|خراز|عبد القادر الخراز|وهيبة|الشرطي","300117","12300","1167","6265","https://i.ytimg.com/vi/lrTwxhEvyjw/default.jpg","False","False","#الدار #Aldar #قناة_الدار اليوتوبورز سميرة فركعات الرمانة وتصدم زوجها في أول خروج إعلامي بعد تقديم تنازله عن دعوة الطلاقموقع الدارInstagram :https://www.instagram.com/aldar.maghreb/...Facebook :https://www.facebook.com/AldarMaghreb/....Site web : https://aldar.ma/Twitter :https://twitter.com/MarocAldarموقع الكتروني إخباري لا تنسوا متابعة قناتنا للتوصل بكل جديد"
"Wttmvaos4e0","يونس مربوحة يحكي  تفاصيل المشكل مع زوجته سميرة ولالة حادة أهديت لها 100 مليون سنتيم","2021-03-17T09:00:12Z","UC67nmHAaEmYiLHjQQm1SXdw","العمق المغربي","25","21.17.03","المغرب|العمق المغربي|يونس مربوحة|سميرة|مسعودة شنيل","109957","4634","2334","4296","https://i.ytimg.com/vi/Wttmvaos4e0/default.jpg","False","False","---يونس مربوحة يحكي  تفاصيل المشكل مع زوجته سميرة ولالة حادة أهديت لها مائة مليون سنتيمالعمق المغربي - صوت المغاربة جريدة الكترونية مغربية تتجدد على مدار الساعة--- زوروا موقعنا الرسمي: http://www.al3omk.comتطبيق العمق متوفر على بلاي ستور وآب ستور: http://onelink.to/nj9zd5تابعونا على فيسبوك: https://www.facebook.com/al3omkتابعونا  على تويتر: https://twitter.com/al3omkcomتابعونا على إنستغرام :https://www.instagram.com/al3omk/ توصلوا بالأخبار مهمة أولا بأول: https://t.me/al3omk1#العمق_المغربي #أخبار #المغرب على مدار الساعة"
"BmVb6zTjGUc","COSTA - CALIFA (OFFICIAL MUSIC VIDEO)","2021-03-16T11:00:14Z","UCuSVvrvotSLkcG0ectHqylA","GRIMEY MUSIC","10","21.17.03","costa|gamberro|grimey|Grimey music|rap|trap|urban music|HDLR|natos y waor","127140","6935","187","279","https://i.ytimg.com/vi/BmVb6zTjGUc/default.jpg","False","False","TIENDA GRIMEY MUSIC: http://store.grimey.es/musica​​PLATAFORMAS DIGITALES: https://ffm.to/califaDirección, realización y edición: Hugo Costa Dirección fotografía: Miami VisualsProducción: Miguel Ángel GinesDirección de arte y estilismo: JP StudioLetra x COSTAMusica x IKKI Gracias Box DB Madrid©GRIMEY MUSIC 2021"
"Du4WMOS2-sA","LIVE: GRAMMY Awards Premiere Ceremony | March 14 at 3pm ET / 12pm PT","2021-03-14T21:27:37Z","UCq4isO8ZYOZfmvGJ-_1UdIA","Recording Academy / GRAMMYs","10","21.17.03","grammy awards|grammys|grammy|album of the year|record of the year|song of the year|grammys red carpet|grammy red carpet|2021 grammys|63rd grammy awards|premiere ceremony|recording academy|where to watch grammys|how to watch grammys","13888473","590863","36079","79511","https://i.ytimg.com/vi/Du4WMOS2-sA/default.jpg","False","False","Music’s Biggest Night kicks off with the Premiere Ceremony, featuring 8 special performances and more than 70 GRAMMYs awarded across music genres ranging from classical and jazz to R&B, Global music and more. Hosted by current three-time GRAMMY nominee Jhené Aiko, the Premiere Ceremony will feature a number of performances by current GRAMMY nominees, including: Nigerian singer, songwriter and rapper Burna Boy, jazz band Terri Lyne Carrington + Social Science, blues musician Jimmy Duck Holmes, classical pianist Igor Levit, Latin electropop musician Lido Pimienta, singer, songwriter and performance artist Poppy, and singer, songwriter and composer Rufus Wainwright. Kicking off the event will be a tribute performance celebrating the 50th anniversary of the classic Marvin Gaye track Mercy, Mercy Me (The Ecology). The special all-nominee ensemble performance will feature Afro-Peruvian Jazz Orchestra, Thana Alexa, John Beasley, Camilo, Regina Carter, Alexandre Desplat, Bebel Gilberto, Lupita Infante, Sarah Jarosz, Mykal Kilgore, Ledisi, Mariachi Sol de Mexico de Jose Hernandez, PJ Morton, Gregory Porter, Grace Potter, säje, Gustavo Santaolalla (Bajofondo), Anoushka Shankar, and Kamasi Washington. All of the Premiere Ceremony performers and the host are nominated this year, as are most of the presenters. Afro-Peruvian Jazz Orchestra for Best Latin Jazz Album (Tradiciones); Aiko for Album Of The Year (Chilombo), Best R&B Performance (Lightning & Thunder featuring John Legend) and Best Progressive R&B Album (Chilombo); Alexa for Best Jazz Vocal Album (Ona); Beasley with Somi With Frankfurt Radio Big Band for Best Jazz Vocal Album (Holy Room: Live At Alte Oper), Best Large Jazz Ensemble Album (MONK'estra Plays John Beasley), Best Arrangement, Instrumental or A Cappella (Donna Lee) and Best Arrangement, Instrumentals and Vocals (Asas Fechadas with Maria Mendes); Burna Boy for Best Global Music Album (Twice As Tall); Burr for Best Comedy Album (Paper Tiger); Camilo for Best Latin Pop or Urban Album (Por Primera Vez); Carrington + Social Science for Best Jazz Instrumental Album (Waiting Game); Carter for Best Improvised Jazz Solo (Pachamama); Chika for Best New Artist; Desplat for Best Instrumental Composition (Plumfield); Gilberto for Best Global Music Album (Agora); Holmes for Best Traditional Blues Album (Cypress Grove); Infante for Best Regional Mexican Music Album (Including Tejano) (La Serenata); Jarosz for Best American Roots Song (Hometown), Best Americana Album (World On The Ground); Kilgore for Best Traditional R&B Performance (Let Me Go); Ledisi for Best Traditional R&B Performance (Anything For You); Levit for Best Classical Instrumental Solo (Beethoven: Complete Piano Sonatas); Mariachi Sol de Mexico de Jose Hernandez for Best Regional Mexican Music Album (Including Tejano) (Bailando Sones Y Huapangos Con Mariachi Sol De Mexico De Jose Hernandez); Morton for Best Gospel Album (Gospel According To PJ); Pimienta for Best Latin Rock or Alternative Album (Miss Colombia); Poppy for Best Metal Performance (BLOODMONEY); Porter for Best R&B Album (All Rise); Potter for Best Rock Performance (Daylight), Best Rock Album (Daylight); säje for Best Arrangement, Instruments and Vocals (Desert Song); Santaolalla with Bajofondo for Best Latin Rock or Alternative Album (Aura); Shankar for Best Global Music Album (Love Letters); Wainwright for Best Traditional Pop Vocal Album (Unfollow The Rules); and Washington for Best Score Soundtrack For Visual Media (Becoming)."
"OKEE4i8L2U4","ISRAEL B - BBS FREESTYLE 1.3 (PROD. LOWLIGHT)","2021-03-15T16:00:21Z","UCYau4SVOiF0z64g_rwH4Q7g","ISRAEL B","10","21.17.03","[none]","98212","6985","78","287","https://i.ytimg.com/vi/OKEE4i8L2U4/default.jpg","False","False","MERCHANDISING disponible en  https://israelb.es/product/Follow https://www.instagram.com/666israel/ https://www.instagram.com/lowlightmusicProducción: Orballo Estudio https://www.instagram.com/orballocreativosDirección: Pablo Villanueva https://www.instagram.com/villanueva_kno/Color: Emilio Jaqueti https://www.instagram.com/emilio_jaqueti/3d & VFX: J. Cabo https://www.instagram.com/jcabo.tvEstilismo: Laura Rivero https://www.instagram.com/lauramaarouf/Foto fija: Laura Herradura  https://www.instagram.com/lauraherradura/"
