video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"wr4KWNq2M70","[선공개] 브하~ 차트 올킬에 음악 방송 1위까지! 역주행 신드롬 브레이브걸스 자기님들☆#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.98","2021-03-17T01:19:42Z","UC920m3pMPH45qztdhppZhwA","유 퀴즈 온 더 튜브","24","21.17.03","끝까지간다|브레이브걸스|선공개|유재석|유퀴즈|유퀴즈온더블럭|조세호","1186297","20504","258","2495","https://i.ytimg.com/vi/wr4KWNq2M70/default.jpg","False","False","유 퀴즈 온 더 블럭매주 (수) 저녁 8시 40분 tvN#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #끝까지간다 #브레이브걸스"
"PC2UEz2t08Q","Brave Girls, Rollin’(브레이브걸스, 롤린) [THE SHOW 210316]","2021-03-16T10:49:09Z","UCoRXPcv8XK5fAplLbk9PTww","The K-POP","10","21.17.03","K-pop|Kpop|SBS|Korea|sbsmedianet|210316|THE SHOW|더쇼|더쇼라이브|Brave Girls|Rollin’|브레이브걸스|롤린","1338150","40517","428","3882","https://i.ytimg.com/vi/PC2UEz2t08Q/default.jpg","False","False","#브레이브걸스, 롤린#Brave_Girls #Rollin’채널에 가입하여 혜택을 누려보세요.https://www.youtube.com/channel/UCoRXPcv8XK5fAplLbk9PTww/joinThe K-POP All about K-POP in Korea!Official  K-POP YouTube channel of SBS Medianet.Please don’t forget to click Subscribe.Enjoy your YouTube life with THE K-POP."
"cgVSqx7d15w","[단독영상]진짜 비디터 님을 만났습니다!!! (※브걸 단체 리액션, 1000만 공약 발표) 브레이브걸스 롤린 역주행 특집 Ep.1 (BRAVEGIRLS Rollin') [ENG]","2021-03-16T22:00:19Z","UC3pk0eDcZx_oYGCWNyJpjMQ","나돌_NADOL","24","21.17.03","나돌|브레이브걸스|롤린|Rollin|브브걸|꼬북좌|메보좌|왕눈좌|단발좌|롤린교차편집|롤린STAGE MIX|브걸 유정|브걸 민영|브걸 유나|브걸 은지|쁘걸|군통령|롤린차트역주행|롤린유튜브댓글모음|해병대롤린|비디터|하이힐|브브걸댓글모음|희망돌|존버돌|롤린리액션|BraveGirls|아이돌그라운드|Idol ground|롤린가오리춤|롤린댄스|용감한형제|운전만해|용형|정글차이쉽오짐","475743","10882","79","1616","https://i.ytimg.com/vi/cgVSqx7d15w/default.jpg","False","False","브걸도 기다리고 구독자도 기다리고 모두가 오매불망 기다린 비디터와 브레이브걸스의 초특급 만남!!!이거 몰카 아니죠???그나저나.... 정글차이쉽오짐 님(=장톨이 님)한강 갈 준비하셔야겠는데요?#브레이브걸스 #롤린 #비디터#유튜브리액션 #깜짝1000만공약 #한강가즈아*Notice*Copyright infringement is not permitted under any circumstances.If you want to add subtitles, please use the following method.1. Click '...' in the video.2. Click 'Add Translation' button.3. Click 'Create New Subtitle'.4. Choose the language you want.5. Put in subtitles.6. Post subtitles.| 나돌 Youtube : https://www.youtube.com/c/나돌| 나돌 NAVER TV : https://tv.naver.com/starlit| 나돌 twitter : https://twitter.com/ae_ssr| 나돌 instagram : https://www.instagram.com/nadol_official/"
"4CO5cjy3khg","[#습핫습핫] 중독성甲 + 개비스X 급 속 편한 샤우팅↗  | 펜트하우스2(Penthouse2) | SBS DRAMA","2021-03-15T02:15:00Z","UC6erIDuvbOaAO-OT5rB2Xew","SBS Drama","24","21.17.03","펜트하우스이지아|나애교|이지아쌍둥이|이지아나애교|김영대|김현수|주석훈|배로나|김영대김현수|하은별|최예빈|펜트하우스|펜트하우스2|김소연|유진|엄기준|김소연엄기준|펜트하우스다시보기|Penthouse2|EUGENE|金素姸|KimSoyeon|이지아|성악|불륜|펜트하우스2 8회|펜트하우스8회|펜트하우스7회|펜트하우스2 7회|감히누가진천댁을|송회장님|진천댁","2413914","24414","493","2679","https://i.ytimg.com/vi/4CO5cjy3khg/default.jpg","False","False","감히 누가 진천댁을 하대해!!!!!이 영상으로 편집자의 화병이 치료되었습니다😄SBS 금토드라마 '펜트하우스 시즌2'☞ 매주 금, 토 밤 10시 본방송#펜트하우스2​ #신은경 ​#윤주희▶ Hompage : https://www.sbs.co.kr/tv/drama​▶ Subscribe SBS Drama : https://bit.ly/2ShWout​"
"-XtKGhhyAjo","[헤이나래 EP.1] 배운 대로 3인칭 썼다가 절친들 잃을 뻔한 박나래 (feat.장도연, 딘딘, 이시언)","2021-03-16T09:11:26Z","UCYtjW8dGkaeHwrMiB01Xa_Q","스튜디오 와플 - STUDIO WAFFLE","24","21.17.03","STUDIO WAFFLE|tvn 헤이나래|박나래|박나래 레전드|박나래 예능|박나래 정상회담|박나래 헤이나래|박나래쇼|스튜디오 와플|스튜디오 와플 박나래|스튜디오 와플 헤이나래|스튜디오 와플 헤이지니|야쓰|와플|정상회담|헤이나래|헤이나래 1화|헤이나래 ep.0|헤이나래 ep1|헤이나래 모음|헤이나래 티저|헤이지니|헤이지니 레전드|헤이지니 박나래|헤이지니 예능|헤이나래 1편|헤이나래 장도연|헤이나래 딘딘|헤이나래 이시언|이시언|딘딘|장도연","633595","0","0","1947","https://i.ytimg.com/vi/-XtKGhhyAjo/default.jpg","False","True","00:29 《헤이나래 EP.1》 조회수 100만 공약✔️🌈💖✨이런 돌대가리야💕❤나래야 웃으며 말한다고 예쁜 말이 아니지요,,매주 화요일 저녁 6시는 대환장 강제 동심 리얼리티 《헤이나래》👉 https://www.youtube.com/c/스튜디오와플STUDIOWAFFLE🧇구독 & 좋아요 & 알림설정 필수🧇#스튜디오와플 #헤이나래 #박나래"
"oGdmuY4eqlE","슈퍼주니어(SUPER JUNIOR) - U (Again 2006) l SUPER JUNIOR COMEBACK SHOW 'House Party'","2021-03-16T10:50:54Z","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","24","21.17.03","2006|House Party|Mnet|Super Junior|슈퍼주니어컴백쇼|엠넷|유|하우스파티","1526818","142524","492","14499","https://i.ytimg.com/vi/oGdmuY4eqlE/default.jpg","False","False","[SUPER JUNIOR COMEBACK SHOW] 슈퍼주니어(SUPER JUNIOR) - U (Again 2006)#슈퍼주니어 #SUPERJUNIOR"
"odY9BGCxG98","롤린(Rollin’) - 브레이브걸스(Brave Girls) [뮤직뱅크/Music Bank] | KBS 210312 방송","2021-03-12T09:03:30Z","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","21.17.03","롤린(Rollin’)|가요|가수|음악|케이팝|브레이브걸스|Brave Girls|롤린|역주행|민영|유정|은지|유나","1185185","28111","341","2138","https://i.ytimg.com/vi/odY9BGCxG98/default.jpg","False","False","롤린(Rollin’) - 브레이브걸스(Brave Girls)KBS2 TV 뮤직뱅크｜매주 금요일 오후 5시에 방송됩니다.#뮤직뱅크 #KPOP #KBS#브레이브걸스 #BraveGirls #롤린"
"bpAYc0D0tXs","[앵콜CAM] 브레이브걸스 '롤린(Rollin')' 인기가요 1위 앵콜 직캠 (Brave Girls Encore Fancam) | @SBS Inkigayo_2021.03.14.","2021-03-14T12:08:41Z","UCS_hnpJLQTvBkqALgapi_4g","스브스케이팝 / SBS KPOP","24","21.17.03","Inkigayo|인기가요직캠|안방1열직캠|Brave Girls|브레이브걸스|민영|유정|은지|유나|롤린|MINYOUNG|YUJEONG|EUNJI|YUNA|Rollin'","3237944","117320","832","16452","https://i.ytimg.com/vi/bpAYc0D0tXs/default.jpg","False","False","[앵콜CAM] 브레이브걸스 '롤린(Rollin')' 인기가요 1위 앵콜 직캠 (Brave Girls Encore Fancam) | @SBS Inkigayo_2021.03.14.#인기가요1위 #앵콜캠 #브레이브걸스 #BraveGirls #롤린---------------------------------------------------------------------------------------------------☞ MORE ＂SBS KPOP＂- Twitter : https://twitter.com/kpop_sbs- Facebook : https://www.facebook.com/sbskpop- Instagram : https://instagram.com/sbskpop_official"
"C1H-aZ6VV2E","좋좋소 7화 확장판 공개본ㅣ사장님이 집에 가는 길에 봐버린 것","2021-03-15T09:01:47Z","UCgmmc51A3qyAR3MvVX-rzCQ","왓챠","1","21.17.03","왓챠|왓챠피디아|왓챠플레이|왓챠추천|영화추천|드라마추천|미드|영드|일드|미국드라마|영국드라마|일본드라마|대만드라마|중드|대드|중국드라마|미드추천|영드추천|일드추천|중드추천|대드추천|한국드라마|한드추천|고전드라마|명작|명작추천|띵작|다시보기|무료보고|풀영상|스포일러|스포포함|리뷰|클립|하이라이트|예고편|trailer|트레일러|명작드라마|명작영화|띵작영화|인생영화|일본영화|블록버스터|박스오피스|이유|분석|좋좋소|이과장|좋소좋소좋소기업|정사장|이미나|이대리|이주임|조주임|정이사|중소기업","278213","2733","52","750","https://i.ytimg.com/vi/C1H-aZ6VV2E/default.jpg","False","False","아.. 사장님.. 과장님..😭-사장님과 이과장의 애잔함과 따뜻함이 느껴지는 이 부분은 왓챠 확장판 공개 분량입니다. 좋좋소의 모든 이야기를 놓치고 싶지 않다면 지금 왓챠에서 좋좋소 확장판을 감상하세요!⟨좋좋소⟩ 확장판 보러가기 ► https://wcha.it/3bfRzfJ#좋좋소 #확장판 #이과장"
"1w6jCZqMzf4","건강에 좋은 부추 이렇게 해서 드세요 Chives","2021-03-15T13:08:02Z","UCdQk6glxcjCZjBdGPIHyJFw","내일메뉴 Tomorrow menu","22","21.17.03","부추 요리 부추전병 집밥 혼밥|내일메뉴|Chives","488561","5444","166","219","https://i.ytimg.com/vi/1w6jCZqMzf4/default.jpg","False","False","부추를 고명이나 찌개에만 넣지 말고 요리로 해서 드세요 Chives"
