video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bka8b28rm5A","БЕРЕМЕННА В 16 | 4 СЕЗОН, 3 ВЫПУСК | ОЛЕСЯ, ТОМСК","2021-03-17T15:00:30Z","UCw25DrmfCz5_yy_Hk1sTQKQ","Телеканал Ю","24","21.17.03","канал ю|телеканал ю|ю|ю тв|ю телеканал|ю канал|реалити|реалити шоу|шоу|беременна в 16|измены|телеканал|беременность|беременна в 16 новая серия|беременна в 16 новый выпуск|беременна в 16 3 выпуск|шоу беременна в 16|беременна в 16 четвертый сезон|юлик|ильдар|кузьма|приятный ильдар|обзор|пародия|реакция|беременна в 16 4 сезон|реакт на беременную|реакция на беременную|беременная в 16|беременна в 16 4 сезон смотреть|томск|олеся томск","408750","20856","594","5532","https://i.ytimg.com/vi/bka8b28rm5A/default.jpg","False","False","Олеся ― девочка-пацанка. Любит спортивки, кроссовки и не любит напрягаться. У Олеси шесть сестер от четырех маминых гражданских мужей, и она терпеть не может, когда мама читает нотации, чтобы Олеся не повторила судьбу своей старшей сестры Ани ― участницы первого сезона «Беременна в 16». Поэтому о своем любимом 22-летнем Богдане Олеся никому рассказывать не стала… Вот только спустя два месяца после начала их отношений поняла, что мама была права ― история с ранней беременностью в их семье повторилась…Сайт телеканала: https://www.u-tv.ru/Вконтакте: https://vk.com/uchannelrussiaИнста: https://www.instagram.com/uchannelrussia/Канал реалити Измены:https://www.youtube.com/channel/UCODGZJRHLzPUfx-qP-NkbNwБеременна в 16:https://vk.com/beremenna16uhttps://www.instagram.com/beremenna_v16_/Модель XL:https://vk.com/modelxlrussiahttps://www.instagram.com/_model_xl/Я стесняюсь своего тела:https://www.instagram.com/telo_russia/https://vk.com/yasstrussiaНаш канал теперь в TikTok 🔥:https://www.tiktok.com/@uchannelrussiaСамые свежие новости из мира шоу-бизнеса, а также рецепты читайте на нашем канале в Яндекс.Дзен:https://zen.yandex.ru/uchannelrussia"
"KD8jRk2_yNU","Персидский Дагестанец VS Никулин. Старт 2 сезона. Акаб устроил замес. Гордей VS Хардкор","2021-03-17T14:46:45Z","UC1_FrNtrgzFPQVHuwAAR3xQ","Hardcore Fighting Championship","17","21.17.03","чоршанбе|наше дело|топ дог|top dog|mma|мма|персидский дагестанец|драка|полное тв|бои|бодимания|бой|коваленко|punch club|пулеметчик|тарасов|хард корр|моряк|чоршанбе чоршанбиев|артем тарасов|хейбати|hardcore fighting|тимур никулин|мариф пираев|кулачные бои|хард кор|хардкор файтинг|мохаммед хейбати|пираев|мухаммед хейбати|хардкор мма|fight nights global|fight nights|бои на голых кулаках|хардкор|hardcore|юфс|ufc|ufc russia|хабиб|конор|акаб","821839","82795","6051","28292","https://i.ytimg.com/vi/KD8jRk2_yNU/default.jpg","False","False","Зарабатывай с 1Win invest - https://1wrhe.top/invest Персидский Дагестанец VS Никулин - бой, который ждал весь мир кулачных боев. Этот выпуск - старт 2 сезона Hardcore Fighting Championship. Прямо во время боев Акаб устроил замесНаш сладкий спонсор “Тульский пряник”https://www.alenka.ru/tulskiy/Надежный партнер Hardcore FC - “Трасса М95”:https://www.trassa-m95.ru/​​Вести здоровый образ жизни легко вместе с нашим партнером - сетью фитнес-клубов “Pride”: https://pride-fitness.ru​Наши соц.сети:Inst: http://instagram.com/hardcore.fighting​Telegram: http://t.me/hardcorefighting​​​Наш вкусный партнер: https://www.instagram.com/thebest.burgers.moscow/Благодарим за предоставление локации международную сеть интерактивных развлечений Клаустрофобия - https://moscow.claustrophobia.com/ru/quest/Таймкоды:00:00 - Начало второго сезона 9:30 - Кремень vs Щегол20:04 - Артем Бойка vs Дикарь31:00 - АКАБ устроил замес38:40 - Орел vs Кыргыз48:35 - Бродяга vs Кинг-Ли1:04:30 - Феникс vs Рокки1:19:30 - КМС vs МСМК1:30:45 - Тиктокер vs Кичат1:42:50 -  Леко vs Нохчо2:01:50 - Персидский Дагестанец vs Тимур Никулин2:29:20 - АКАБ снова устроил замес 2:31:06  - Награды от 1winTracklist: Track:Koven - Never Have I Felt This [NCS Release]Music provided by NoCopyrightSoundsWatch: https://youtu.be/-7fuHEEmEjs​Free Download / Stream:http://ncs.io/NeverHaveIFeltThisYOTrack: Nimez - Feel U [Magic Free Release]Music Provided By: Magic RecordsListen To The Original: https://bit.ly/2QgZ6gT​Fanlink: https://fanlink.to/9ETTrack:2nd Life - Forever [Magic Release]Music Provided By: Magic RecordsListen To The Original: https://bit.ly/2SxMW5b​Fanlink: https://fanlink.to/frvrTrack: NOES - Like A Boss [Magic Release]Music Provided By: Magic RecordsListen To The Original: https://youtu.be/mRKBD6ceqZs​Fanlink: https://fanlink.to/bkMK​Track: BIOJECT - Ranger [Magic Release]Music Provided By:Magic RecordsListen To The Original:https://bit.ly/2PsnfSf​Fanlink: https://fanlink.to/RangerTrack: BULWRD & YZKN - Cosmic (Magic Free Release)Music Provided By: Magic RecordsListen To The Original:https://youtu.be/soFH7i7Aj8E​Fanlink: https://fanlink.to/bprG​Track: FutureVille - ClosedMusic provided by Beast TrapWatch: https://youtu.be/4y73Yccfu0k​Free Download/Stream: https://hypeddit.com/link/w0fhr7Track:Fusion TrapMusic provided by FREE BACKGROUND MUSICTrack: YZKN & BIOJECT - Another Day [Magic Release]Music Provided By: Magic RecordsListen To The Original: https://bit.ly/2FqjJH1​Fanlink: https://fanlink.to/9NFTrack:BEDO97 & Extelligence - CannonMusic provided by Beast TrapWatch:https://youtu.be/L7meCw8aN8U​Free Download/Stream:https://hypeddit.com/link/jtffgoMusic Info:Middle East Trap - by Soul-Prod MusicMusic Link:https://bit.ly/30cLlYrTrack:PhenomArtist:PranayMusic Provided by FREE BACKGROUND MUSICTamuna Mebonia - War DanceTrack: Alban Chela - Million Dollar Mind (ft. 5ive$tar Fine$$e)Music Provided by Magic RecordsListen To The Original: https://youtu.be/bMuOk8IAPCE​Free Download: https://fanlink.to/cBEzTrack: Calli Boom & LAUTRE. - ReverieMusic Provided by Magic RecordsListen To The Original: https://youtu.be/JoxT7v02igA​Free Download: https://fanlink.to/ezqr​Usage Policy: http://www.magicmusicLLC.comTrack: Lucha x Godmode - I'm A MonsterMusic Provided by Magic RecordsListen To The Original: https://youtu.be/3kZqlOpDeVc​Free Download: https://fanlink.to/c94PTrack: BULWRD - RestartMusic Provided by Magic RecordsListen To The Original:https://youtu.be/SpdfWlMuCok​Free Download: https://fanlink.to/rstrtTrack: GRIM & Blame Connor - WithoutMusic Provided by Magic RecordsListen To The Original:https://youtu.be/lH-i1_voqmk​Free Download: https://fanlink.to/c6eTTrack: BIOJECT & Jimmy Wit An H - Gold (ft. Dubbygotbars) [Magic Free Release]Music Provided By: Magic RecordsListen To The Original:https://bit.ly/2AorUPi​Fanlink: https://fanlink.to/gasjTrack: Yusuf Alev & Sneaky Ollie & TULE - AfterhoursMusic Provided by Magic RecordsListen To The Original: https://youtu.be/PgTvaGSOV1w​Free Download: https://fanlink.to/dgXJTrack: Blastnoise - FOUL PLAYProvided by Beast TrapWatch:https://youtu.be/aJ1bfcmW5Po​Free Download/Stream: https://hypeddit.com/link/dq9irdTrack: Cliché & Spinner Sunny - AsuraMusic Provided by Magic RecordsListen To The Original:https://youtu.be/9DuaBYdhLtM​Free Download:https://fanlink.to/asuraTrack: Siedlecky - GrozaMusic provided by Beast TrapWatch:https://youtu.be/kQvHeU7n_t0​Free Download/Stream:https://hypeddit.com/link/g02j0pTrack: Jurgaz - Origins [Magic Release]Music Provided By: Magic RecordsListen To The Original:https://bit.ly/2RocMew​Fanlink: https://fanlink.to/UYy"
"v0B2FM-pPAg","Забрали 50 тачек из секретного гаража","2021-03-17T14:05:56Z","UCAe4XfXD-WqP5FsGSO_h-xg","Психопаты Синдиката","2","21.17.03","тачка за копейка|нашли|дубровский синдикат|жекич дубровский|дешевки|крузак|гелик|крузак200|крузак 200|амг|в погоне за роллсом|rolls-royce|Ghost|зайцев|nissan gtr","571719","69831","1583","1985","https://i.ytimg.com/vi/v0B2FM-pPAg/default.jpg","False","False","https://xo.link/psihopaty - скачивай Crossout бесплатно и получай бонусы от нас!Промокод на 15%: Синдикат Проверка подлинности продукции Castrolhttp://www.castrol.ru/check?utm_source=yt&utm_content=syndicatepsih21p1  Интернет-магазин Castrolhttp://www.shop.castrol.ru/?utm_source=yt&utm_content=syndicatepsih21p1 Купить масло Castrol у официальных партнеровhttp://www.castrol.com/ru_ru/russia/home/castrol-story/where-to-buy.html?utm_source=yt&utm_content=syndicatepsih21p1  Ассортимент:- Объем – фасовка до 7 литров включительно- Акции – не распространяется на товары с «лучшей ценой» и раздел распродажа.Срок действия промокода:- До 30.04.2021По вопросам рекламы, сотрудничества dubrovskiysyndicate@mail.ruИнстаграм Вани: https://www.instagram.com/zaitcev_ivan/Инстаграм Руса: https://www.instagram.com/umyarov_ruslanИнстаграм Димы: https://www.instagram.com/dmitry_keln---Основной канал: https://www.youtube.com/user/fulllux/videosЖизнь Синдиката: http://www.youtube.com/c/ЖизньСиндиката/Мастерская Синдиката: http://www.youtube.com/c/МастерскаяСиндиката/---Музыка из видео: https://vk.com/motorheartstudio#ДубровскийСиндикат"
"cgC4CIHlHBM","КОНТАКТЫ в телефоне Карины Кросс: Артур Бабич, Гусейн Гасанов, Сергей Дружко, Ида Галич","2021-03-17T14:00:11Z","UC7p0GCM88wBsrlv5n5eeCHw","ШАСТУН","23","21.17.03","антон шастун|импровизация|шастун|тнт|шастун контакты|контакты шастун|ответы на вопросы|шоу контакты|антон шастун контакты|шастун антон|контакты|смешно|вопрос|ответ|юмор|шоу шастуна|контакты кросс|карина кросс контакты|карина кросс|кросс и шастун|карина кросс и антон шастун|шастун и кросс|артур бабич|ида галич|гусейн гасанов|сергей дружко|кросс карина|контакты шастун и кросс|антон шастун и кросс карина|кросс|контакты шоу|контакты карина кросс","215536","18611","675","1933","https://i.ytimg.com/vi/cgC4CIHlHBM/default.jpg","False","False","Ищите на Циан дома, таунхаусы и целые участки: https://clck.ru/TkrxmКупить мерч Шастуна: https://shastoon.ru/Всем привет! Представляем новый выпуск шоу «Контакты», в котором приглашенные участники должны ответить на вопросы с помощью своих контактов в телефоне. Сегодня у нас в гостях Карина Кросс!  Смогут ли Артур Бабич, Гусейн Гасанов, Сергей Дружко, Ида Галич и многие другие ответить на вопросы Антона Шастуна? Это вы узнаете в нашем видео. Приятного просмотра.Карина КроссИнста - https://www.instagram.com/karinakross/Антон Шастун:Инста - https://www.instagram.com/anton.shastoonИнста канала «Шастун»  - https://www.instagram.com/shastoonchannelВК - https://vk.com/shastoon* По вопросам рекламы: shastoon@didenok.com *"
"tHTijEBQsmk","ПЕРВЫЙ ПОЦЕЛУЙ Дани Милохина 😲 ОТКРОВЕННОЕ ИНТЕРВЬЮ - POKROV ШОУ","2021-03-17T12:00:17Z","UCXkqdE4Yi50wdMo5dlLfnNQ","Аня Pokrov","24","21.17.03","POKROV|покров шоу|pokrov Шоу|аня покров шоу|шоу ани покров|шоу покров|даня милохин|милохин|первый поцелуй|первые отношения|пижамная вечеринка|интервью|интервью с даней милохиным|покров|покров 90|тик ток|тиктокеры|шоу|дрим тим хаус|dream team house","270999","34798","529","2592","https://i.ytimg.com/vi/tHTijEBQsmk/default.jpg","False","False","Последний предатель: https://youtu.be/bsW1mGqVBOsПоследний предатель в ТикТок:  - https://vm.tiktok.com/ZSwyvPrR/► Даня МилохинВК: https://vk.com/danya_milokhinЮтуб канал: https://www.youtube.com/channel/UC1EubwyksxHrpJZ9DvebeqQ?sub_confirmation=1ТикТок: https://www.instagram.com/DANYA_MILOKHINИнстаграм: https://www.tiktok.com/@DANYA_MILOKHIN?langГРУППА ВК https://vk.com/public176143418⭐️ Dream Team House - ДОМ, В КОТОРОМ ЖИВУТ ТИКТОКЕРЫ⭐️⭐️ Dream Team Family: https://www.youtube.com/channel/UC_5WQxfSgDfzLNjRB8aN_Tg?sub_confirmation=1⭐️ ТИК ТОК  https://vm.tiktok.com/7QaJPA/⭐️ Мы в ВК: https://vk.com/dreamteamhouseru⭐️ ИНСТАГРАМ https://instagram.com/dream_team_house⭐️ Наш игровой канал для Стримов: https://www.youtube.com/channel/UCMpwYbwjCommulwGZgoVbuA⭐️ Наш Твич канал: https://twitch.tv/dream_team_games💕 Мои социальные сети:ВК: https://vk.com/pokrovskaya_oneИнстаграм: https://www.instagram.com/POKROV90ТикТок: https://www.tiktok.com/@POKROV?langПо вопросам сотрудничества: reklama@dreamteamhouse.ru Пиар\СМИ: pr@dreamteamhouse.ruПЕРВЫЙ ПОЦЕЛУЙ Дани Милохина 😲 ОТКРОВЕННОЕ ИНТЕРВЬЮ - POKROV ШОУ"
"khB6xLytF4o","60 минут по горячим следам от 17.03.2021","2021-03-17T11:06:05Z","UC_IEcnNeHc_bwd92Ber-lew","Россия 24","25","21.17.03","последние новости|Россия 24|онлайн|новости дня|мировые новости|новости России|новости мира|в прямом эфире|вести|вести 24|Russia24|политика|экономика|бизнес|интервью|специальный репортаж|происшествия|ВГТРК|информационный канал|24 часа|путин|ольга скабеева|скабеева|попов|евгений попов|скабеева и попов|беларусь|лукашенко|тихановская|оппозиция|украина|россия|зеленский|трамп|байден|выборы|выборы 2020|выборы в сша|сша|навальный|германия|смотрим","332455","5262","5792","2627","https://i.ytimg.com/vi/khB6xLytF4o/default.jpg","False","False","БЕСПЛАТНО СМОТРИМ ВСЁ ТУТ 👉 https://smotrim.ru/vesti/?utm_source=youtube&utm_medium=all&utm_campaign=all_0 Подпишитесь на канал 60 минут: https://www.youtube.com/channel/UCR16nHT1nkmG7g9AkE9tGeQ?sub_confirmation=1Ток-шоу с Ольгой Скабеевой и Евгением Поповым от 17 марта 2021 года.Последние новости России и мира, политика, экономика, бизнес, курсы валют, культура, технологии, спорт, интервью, специальные репортажи, происшествия и многое другое.Официальный YouTube канал ВГТРК. Россия 24 - это единственный российский информационный канал, вещающий 24 часа в сутки. Мировые новости и новости регионов России. Экономическая аналитика и интервью с влиятельнейшими персонами. Смотрите также:Новости в прямом эфире - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQ73BA1ECZR916u5EI6DnEEМеждународное обозрение - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaSEmz_g88P4pjTgoDzVwfP7Специальный репортаж - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQLdG0uLyM27FhyBi6J0IkfИнтервью - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaReDfS4-5gJqluKn-BGo3JsРеплика - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQHbPaRzLi35yWWs5EUnvOsФакты - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaR4eBu2aWmjknIzXn2hPX4cМнение - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaST71OImm-f_kc-4G9pJtSGАгитпроп - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTDGsEdC72F1lI1twaLfu9cРоссия и мир в цифрах - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaRx4uhDdyX5NhSy5aeTMcc4Вести в субботу с Брилевым - https://www.youtube.com/playlist?list=PL6MnxjOjSRsQAPpOhH0l_GTegWckbTIB4 Вести недели с Киселевым - https://www.youtube.com/playlist?list=PL6MnxjOjSRsRzsISAlU-JcbTi7_a5wB_v Специальный корреспондент - https://www.youtube.com/playlist?list=PLDsFlvSBdSWfD19Ygi5fQADrrc4ICefyG Воскресный вечер с Соловьевым - https://www.youtube.com/playlist?list=PLwJvP0lZee7zYMGBmzUqNn16P71vHzgkU"
"rymFz0eY84M","✅Нашли ЯДЕРНУЮ ракетную установку на космодроме Байконур ☢☢☢🚀 Стартовая шахта глубиной 40 метров","2021-03-17T07:00:17Z","UCUllb83Lugbka-rvF6Nutxg","KREOSAN","28","21.17.03","канал Креосан|обзор машины|тюнинг авто|ракетостроение|космос|Казахстан|Байканур|Буран|алиэкспресс|опыты|эксперименты|самсунг|УАЗ|Буханка|кухня казахстана|домашняя кухня|солнечная электростанция|электричество|инвертор","674694","53007","3259","4693","https://i.ytimg.com/vi/rymFz0eY84M/default.jpg","False","False","Распродажа День рождения AliExpress, скидки до 70% —  https://letyshops.app.link/wJg6jQcYDebМы проникли на космодром Байконур. Ночью мы решили спрятать наш автомобиль в гаражах космической стартовой площадки и обнаружили там вход в бункер. Смотри скорее что же было в том космическом бункере!═════════════════════════════════════════════На нашем канале ты найдёшь необычные #эксперименты с электричеством, #опыты и #изобретения. Здесь мы делимся нестандартными идеями и претворяем в жизнь самые смелые задумки.Следи за нашим каналом! Задавай вопросы в комментариях.► Группа ВКОНТАКТЕ - http://vk.com/kreosann► Наш ИНСТАГРАМ - https://www.instagram.com/kreosan► Александр Крюков - http://vk.com/kreosan► Заказ рекламы - https://vk.com/id63520946"
"WKX0QsEK8wc","ПУГАЮ СВОИХ ДРУЗЕЙ 24 ЧАСА!","2021-03-17T12:40:34Z","UCUHQKxU-_DWsrwBxlKWgsew","ЕГОРИК","24","21.17.03","ПУГАЮ СВОИХ ДРУЗЕЙ 24 ЧАСА!|СТРАШНЫЕ ПРАНКИ НАД ДРУЗЬЯМИ|СТРАШНЫЕ ПРАНКИ|страшные пранки над людьми|СТРАШНЫЕ ПРАНКИ НАД МОЕЙ ДЕВУШКОЙ!|ПРАНКИ НАД ДРУЗЬЯМИ|ПРАНКИ НАД МОЕЙ ДЕВУШКОЙ|ПРАНКИ ИЗ ТИК ТОКА|пугаю друзей челлендж|пугаю свою девушку 24 часа|пранки 24 часа|пугаю 24 часа|пранки егорик|егорик страшилки|егорик а4|Влад А4|Влад Бумага","639210","118919","1200","19738","https://i.ytimg.com/vi/WKX0QsEK8wc/default.jpg","False","False","ПУГАЮ СВОИХ ДРУЗЕЙ 24 ЧАСА!В этом видео я буду ПУГАТЬ СВОИХ ДРУЗЕЙ СТРАШНЫМИ ПРАНКАМИ.  Буквально на днях они сказали мне, что ничего не бояться. Это было зря. Поэтому это видео одно из самых жестких на нашем канале. Обязательно досмотрите это видео до конца, что бы узнать как ни испугались. ПОДПИСЫВАЙСЯ НА КАНАЛ ЧТОБЫ  ОН СТАЛ ЕЩЁ КРУЧЕ. Мой вк-https://vk.com/egorikshkredofficial​​​​Мой инстаграм - https://www.instagram.com/egor_shkred...​КАНАЛ ЯНЫ -  https://www.youtube.com/channel/UCzK8...​Инстаграм Миши Вайса - https://instagram.com/mishawice?igshi​​​​...Мой ТИК ТОК- https://vm.tiktok.com/HHpHMn/​​​​Почта для сотрудничества - shkred@mediacube.in"
"jFCplxHKJ40","ПОСЫЛКИ ОТ ПОДПИСЧИКОВ - Я В ШОКЕ","2021-03-17T09:44:00Z","UCVlPyvH-XhOVPovpLe0EkMw","ЭМИЛЬ","22","21.17.03","ПОСЫЛКИ ОТ ПОДПИСЧИКОВ - Я В ШОКЕ|ПОСЫЛКИ ОТ ПОДПИСЧИКОВ|ПОСЫЛКИ ПОДПИСЧИКОВ|ПОСЫЛКИ|ПОСЫЛКИ ОТ|Я В ШОКЕ|ЭМИЛЬ|эмиль|распаковка посылок от подписчиков|распаковка посылок подписчиков|распаковка посылок|посылки от подписчиков распаковка|распаковываю посылки от подписчиков|посылки распаковка|подписчики прислали посылки|мега посылки|дорогие посылки от подписчиков|дорогие посылки|распаковка|открываем посылки|открываем посылки от подписчиков","222397","43667","365","1665","https://i.ytimg.com/vi/jFCplxHKJ40/default.jpg","False","False","https://gjn.link/emil — качай War Thunder бесплатно, забирай свой бонус при регистрации: техника на выбор и 3 дня премиума аккаунта!ПОСЫЛКИ ОТ ПОДПИСЧИКОВ - Я В ШОКЕ Сегодня я снимаю ролик, где решил открывать ПОСЫЛКИ ОТ ПОДПИСЧИКОВ, и когда я их открывал, Я В ШОКЕ от того какие разные и интересные посылки там оказались. Как вам формат ПОСЫЛКИ ОТ ПОДПИСЧИКОВ? Если хотите продолжение, давайте наберём 100.000 лайков, и я сниму ещё ПОСЫЛКИ ОТ ПОДПИСЧИКОВ. Канал Никиты- https://www.youtube.com/channel/UCPB8r4961RpDXGe3frtsmIQПодпишись на меня ● Instagram - https://www.instagram.com/emilen_im/​​● TikTok - https://vm.tiktok.com/pCKMu9/​​● VKontakte: https://vk.com/emilka98​​СОТРУДНИЧЕТСВО: emilen.pr@gmail.com"
"83iTbi7_NFU","Референдум о судьбе СССР | Монетизация ненависти к России | Отказ от AstraZeneca | Полный контакт","2021-03-17T08:32:02Z","UCQ4YOFsXjG9eXWZ6uLj2t2A","Соловьёв LIVE","25","21.17.03","соловьев live|соловьев|новости|соловьев лайф|россия|вечер с владимиром соловьевым|политика|владимир соловьев|вечер с соловьевым|soloviev live|соловьев лайв|последние новости|сша|америка|коронавирус|вакцина|вакцинация|спутник v|sputnik v|covid-19|coronavirus|sputnik v vaccine|моргенштерн|собчак|интервью|познер|санкции|санкции против россии|оппозиция|альфа банк|morgenshtern|полный контакт","269620","17748","5813","1143","https://i.ytimg.com/vi/83iTbi7_NFU/default.jpg","False","False","🌞 Доброе утро!0:00 Главные новости дня08:32 Горка отщепенцев не может считать себя российской молодёжью30:28 Время Голованова: Израиль нанес ракетные удары по окрестностям Дамаска36:15 Как Познер, Собчак, Серебряков зарабатывают на ненависти к России58:44 Константин Придыбайло о ситуации в Белоруссии 01:08:18 О вакцине AstraZeneca и выставке доктора Смерть. Рассказывает доктор Александр Мясников01:37:14 Армен Гаспарян: какое представление имеет современное поколение блогеров, тиктокеров о либерализме? 01:59:22 Журналист Олег Лурье о «концлагере» Навального02:08:36  Дело Санкина: как человек, который спас детей от педофила, оказался в тюрьме? Гость – адвокат Шота Горгадзе02:14:06 Собчак взяла интервью у Шохова?02:20:43 О деле Дмитрия Натарова02:28:55 В Татарстане сгорел дотла памятник воину-освободителю02:36:20 Референдум о судьбе СССР. Дмитрий Евстафьев. Почему решение сохранить Советский Союз ни на что не повлияло? 02:59:33 Арман Абовян о ситуации в Ереване03:11:28 Санкции США против России за вмешательство в выборы. Обсудили с Евгением Сатановским03:29:47 Время Голованова: интервью Шойгу для Tengrinews.kz. Секрет про американцев, Казахстан и «армия Турана»03:38:29 Унижение женщин и оскорбления в клипе Моргенштерна с «Альфа-банком»📻 Устанавливаем «Полный контакт»! Владимир Соловьёв и самые уважаемые эксперты страны на протяжении четырёх часов! Присоединяйтесь!📻 Слушайте на http://radiovesti.ru☎ Звоните по телефону +7 495 232-15-59📱 Пишите в WhatsApp +7 903 170-63-63📺 Подписывайтесь на YouTube-канал — http://soloviev.live#соловьёв #полныйконтакт #соловьёвlive"
